event_id,customer_id,event_date,event_type,plan_price,mrr_delta
1,1,2024-01-16,signup,5.99,5.99
2,2,2024-01-18,signup,5.99,5.99
3,2,2025-07-11,cancel,5.99,-5.99
4,3,2024-01-19,signup,5.99,5.99
5,4,2024-01-20,signup,5.99,5.99
6,4,2024-10-16,cancel,5.99,-5.99
7,5,2024-01-30,signup,5.99,5.99
8,5,2024-04-29,cancel,5.99,-5.99
9,6,2024-01-03,signup,5.99,5.99
10,6,2024-02-02,cancel,5.99,-5.99
11,7,2024-01-30,signup,5.99,5.99
12,8,2024-01-03,signup,5.99,5.99
13,8,2024-02-02,cancel,5.99,-5.99
14,9,2024-01-28,signup,5.99,5.99
15,9,2024-09-24,cancel,5.99,-5.99
16,10,2024-01-29,signup,5.99,5.99
17,10,2024-02-28,cancel,5.99,-5.99
18,11,2024-01-16,signup,5.99,5.99
19,12,2024-01-23,signup,5.99,5.99
20,13,2024-01-22,signup,5.99,5.99
21,14,2024-01-19,signup,5.99,5.99
22,15,2024-02-01,signup,5.99,5.99
23,16,2024-01-07,signup,5.99,5.99
24,19,2024-01-10,signup,5.99,5.99
25,19,2024-03-10,cancel,5.99,-5.99
26,20,2024-01-31,signup,5.99,5.99
27,21,2024-01-16,signup,5.99,5.99
28,22,2024-01-09,signup,5.99,5.99
29,23,2024-01-18,signup,5.99,5.99
30,24,2024-01-30,signup,5.99,5.99
31,25,2024-01-25,signup,5.99,5.99
32,26,2024-01-14,signup,5.99,5.99
33,26,2024-07-12,cancel,5.99,-5.99
34,27,2024-01-04,signup,5.99,5.99
35,27,2024-12-29,cancel,5.99,-5.99
36,28,2024-01-17,signup,5.99,5.99
37,28,2024-02-16,cancel,5.99,-5.99
38,29,2024-01-19,signup,5.99,5.99
39,29,2024-09-15,cancel,5.99,-5.99
40,30,2024-01-27,signup,5.99,5.99
41,31,2024-01-29,signup,5.99,5.99
42,31,2025-11-19,cancel,5.99,-5.99
43,32,2024-01-16,signup,5.99,5.99
44,32,2024-12-11,cancel,5.99,-5.99
45,33,2024-02-01,signup,5.99,5.99
46,34,2024-01-04,signup,5.99,5.99
47,34,2024-04-03,cancel,5.99,-5.99
48,35,2024-01-28,signup,5.99,5.99
49,35,2024-03-28,cancel,5.99,-5.99
50,36,2024-01-19,signup,5.99,5.99
51,36,2025-10-10,cancel,5.99,-5.99
52,37,2024-01-30,signup,5.99,5.99
53,38,2024-01-31,signup,5.99,5.99
54,38,2024-06-29,cancel,5.99,-5.99
55,39,2024-01-23,signup,5.99,5.99
56,40,2024-01-08,signup,5.99,5.99
57,40,2024-02-07,cancel,5.99,-5.99
58,41,2024-01-17,signup,5.99,5.99
59,41,2025-04-11,cancel,5.99,-5.99
60,42,2024-01-25,signup,5.99,5.99
61,42,2024-04-24,cancel,5.99,-5.99
62,43,2024-01-12,signup,5.99,5.99
63,44,2024-01-23,signup,5.99,5.99
64,44,2024-04-22,cancel,5.99,-5.99
