customer_id,signup_date,geo_id,acquisition_channel_id
1,2024-12-16,1,1
2,2024-06-21,5,3
3,2025-06-06,1,2
4,2024-03-04,1,2
5,2024-02-29,1,2
6,2024-10-30,1,2
7,2025-03-30,1,4
8,2025-01-17,2,1
9,2025-08-22,2,1
10,2024-04-23,6,2
11,2025-03-28,5,2
12,2025-09-18,2,2
13,2025-04-13,4,4
14,2024-11-15,5,1
15,2024-06-23,2,1
16,2024-06-25,1,1
17,2024-12-14,2,2
18,2024-06-16,1,5
19,2024-12-21,4,1
20,2025-02-05,1,2
21,2025-10-27,4,2
22,2025-01-10,6,3
23,2024-06-23,1,1
24,2024-07-08,1,5
25,2025-05-22,2,3
26,2024-08-26,7,2
27,2024-07-07,1,2
28,2024-07-06,3,4
29,2024-08-28,1,5
30,2024-10-14,1,1
31,2024-04-30,4,3
32,2024-09-06,1,2
33,2025-11-21,3,5
34,2025-05-09,1,3
35,2025-01-08,3,1
36,2024-12-17,1,2
37,2024-09-19,8,4
38,2024-07-06,3,1
39,2025-06-27,7,1
40,2024-12-16,4,1
41,2025-02-25,3,3
42,2024-10-23,1,1
43,2024-02-20,7,4
44,2025-04-15,2,1
45,2025-05-24,8,1
46,2024-10-03,1,3
47,2025-02-28,1,2
48,2024-11-01,1,4
49,2024-09-06,1,2
50,2025-02-05,1,1
51,2025-11-16,4,2
52,2024-10-17,1,1
53,2024-08-03,3,1
54,2024-06-20,1,2
55,2024-06-23,7,4
56,2024-04-07,1,3
57,2024-06-18,1,5
58,2024-11-12,3,3
59,2025-03-28,1,1
60,2024-09-10,3,2
61,2025-02-05,4,5
62,2024-04-24,2,1
63,2025-05-09,1,1
64,2024-09-17,3,1
65,2024-07-01,7,2
66,2025-05-09,3,1
67,2025-12-14,6,5
68,2025-07-12,6,1
69,2024-10-03,1,2
70,2024-03-29,2,5
71,2024-07-07,5,2
72,2024-09-06,8,5
73,2024-11-04,5,1
74,2024-07-18,8,2
75,2024-10-29,5,1
76,2024-11-18,3,4
77,2024-05-24,8,1
78,2024-06-06,4,3
79,2024-06-26,1,4
80,2024-06-30,4,2
81,2024-09-05,3,2
82,2025-07-22,1,3
83,2024-06-27,2,3
84,2024-07-20,2,3
85,2024-04-08,3,5
86,2025-11-21,1,1
87,2024-07-07,7,4
88,2025-05-25,2,1
89,2025-04-17,5,2
90,2025-10-20,4,1
91,2025-04-04,2,3
92,2025-07-27,1,1
93,2024-04-29,3,1
