claim_id,order_id,claim_date,claim_type,resolution,cost_to_company
1,35,2024-01-28,return,refunded,349.0
2,55,2024-01-28,return,refunded,424.15
3,127,2024-02-09,warranty,repaired,129.0
4,193,2024-02-13,return,refunded,299.0
5,257,2024-02-08,return,refunded,299.0
6,319,2024-02-17,warranty,replaced,129.0
7,350,2024-02-15,warranty,repaired,150.0
8,380,2024-03-04,warranty,replaced,142.0
9,420,2024-03-04,warranty,repaired,150.0
10,449,2024-03-03,warranty,replaced,150.0
11,460,2024-03-18,return,refunded,349.0
12,480,2024-03-22,warranty,repaired,150.0
13,537,2024-03-05,warranty,repaired,129.0
14,546,2024-03-02,return,refunded,349.0
15,600,2024-03-05,return,refunded,349.0
16,628,2024-04-06,warranty,replaced,142.0
17,658,2024-03-26,warranty,repaired,129.0
18,664,2024-03-27,return,refunded,329.0
19,758,2024-03-14,return,refunded,349.0
20,769,2024-03-15,warranty,repaired,129.0
21,809,2024-04-07,warranty,replaced,142.0
22,882,2024-03-27,warranty,repaired,129.0
23,1004,2024-03-31,return,refunded,329.0
24,1011,2024-05-03,warranty,replaced,150.0
25,1109,2024-04-17,warranty,repaired,129.0
26,1133,2024-05-05,warranty,replaced,129.0
27,1161,2024-05-14,warranty,replaced,150.0
28,1166,2024-04-27,warranty,repaired,129.0
29,1260,2024-05-15,warranty,repaired,129.0
30,1278,2024-04-21,return,refunded,329.0
31,1446,2024-05-24,warranty,replaced,150.0
32,1493,2024-05-07,warranty,replaced,150.0
33,1551,2024-05-12,return,refunded,296.65
34,1553,2024-06-05,warranty,replaced,129.0
35,1588,2024-05-13,warranty,repaired,150.0
36,1590,2024-05-24,warranty,replaced,150.0
37,1600,2024-05-21,warranty,replaced,129.0
38,1604,2024-06-14,return,refunded,349.0
39,1661,2024-05-26,return,refunded,296.65
40,1695,2024-05-31,warranty,repaired,129.0
41,1722,2024-06-09,return,refunded,349.0
42,1767,2024-06-05,warranty,replaced,150.0
43,1772,2024-05-26,warranty,replaced,150.0
44,1787,2024-06-15,return,refunded,314.1
45,1814,2024-06-01,warranty,replaced,150.0
46,1894,2024-06-11,warranty,repaired,150.0
47,1925,2024-07-02,return,refunded,499.0
48,1926,2024-06-06,warranty,replaced,129.0
49,2123,2024-07-09,warranty,repaired,215.0
50,2191,2024-07-15,return,refunded,349.0
51,2211,2024-07-15,warranty,repaired,150.0
52,2212,2024-07-14,return,refunded,349.0
53,2219,2024-07-01,warranty,repaired,150.0
54,2275,2024-07-29,warranty,replaced,150.0
55,2302,2024-07-16,warranty,repaired,150.0
56,2313,2024-07-29,warranty,replaced,142.0
57,2320,2024-06-28,warranty,replaced,150.0
58,2335,2024-07-13,warranty,replaced,129.0
59,2351,2024-07-27,warranty,repaired,129.0
60,2405,2024-07-20,warranty,repaired,129.0
61,2423,2024-08-03,warranty,repaired,129.0
62,2428,2024-07-19,warranty,repaired,129.0
63,2437,2024-08-03,return,refunded,314.1
64,2473,2024-08-06,warranty,repaired,129.0
65,2536,2024-07-14,warranty,replaced,150.0
66,2551,2024-08-07,warranty,repaired,129.0
67,2561,2024-08-06,warranty,repaired,129.0
68,2590,2024-08-08,return,refunded,329.0
69,2626,2024-07-26,warranty,replaced,129.0
70,2638,2024-07-24,warranty,replaced,215.0
71,2640,2024-08-07,warranty,replaced,129.0
72,2651,2024-08-03,return,refunded,349.0
73,2714,2024-08-07,warranty,repaired,129.0
74,2715,2024-08-02,warranty,replaced,215.0
75,2772,2024-08-22,warranty,replaced,150.0
76,2781,2024-07-31,warranty,replaced,129.0
77,900445,2024-08-14,return,refunded,299.0
78,2914,2024-08-24,return,refunded,299.0
79,2971,2024-08-24,return,refunded,329.0
80,3019,2024-08-24,return,refunded,279.65
81,3159,2024-09-08,warranty,replaced,129.0
82,3164,2024-08-16,warranty,replaced,150.0
83,3220,2024-08-25,warranty,replaced,150.0
84,3240,2024-09-18,warranty,repaired,215.0
85,3244,2024-09-16,return,refunded,349.0
86,3249,2024-09-23,return,refunded,499.0
87,3291,2024-09-14,warranty,repaired,129.0
88,3327,2024-09-13,warranty,repaired,150.0
89,3348,2024-09-19,warranty,replaced,129.0
90,3350,2024-08-31,warranty,replaced,215.0
91,3400,2024-09-08,warranty,replaced,142.0
92,3425,2024-09-05,warranty,repaired,129.0
93,3437,2024-10-04,warranty,replaced,129.0
94,3496,2024-09-26,warranty,replaced,142.0
95,3522,2024-09-20,return,refunded,349.0
96,3552,2024-09-12,warranty,repaired,150.0
97,3553,2024-10-09,warranty,replaced,142.0
98,3593,2024-09-16,warranty,repaired,129.0
99,3618,2024-09-08,warranty,replaced,142.0
100,3663,2024-09-26,warranty,replaced,150.0
101,3668,2024-10-01,warranty,replaced,150.0
102,3687,2024-10-15,return,refunded,349.0
103,3714,2024-10-14,return,refunded,349.0
104,3773,2024-10-09,return,refunded,299.0
105,3810,2024-09-21,warranty,replaced,150.0
106,3824,2024-10-20,return,refunded,296.65
107,3847,2024-10-05,warranty,replaced,150.0
108,3913,2024-10-29,return,refunded,314.1
109,3923,2024-10-08,warranty,replaced,129.0
110,3978,2024-10-16,return,refunded,296.1
111,3983,2024-10-07,warranty,replaced,142.0
112,4009,2024-11-01,warranty,replaced,150.0
113,4025,2024-11-02,warranty,replaced,142.0
114,4071,2024-11-02,warranty,repaired,142.0
115,4077,2024-10-31,warranty,repaired,129.0
116,4110,2024-11-02,warranty,repaired,142.0
117,4157,2024-10-11,warranty,replaced,142.0
118,4174,2024-10-20,warranty,replaced,150.0
119,4195,2024-11-13,warranty,repaired,129.0
120,4208,2024-10-11,return,refunded,329.0
121,4214,2024-10-16,warranty,repaired,129.0
122,4216,2024-10-19,warranty,repaired,129.0
123,4219,2024-10-18,warranty,repaired,150.0
124,4281,2024-11-08,warranty,repaired,150.0
125,4318,2024-11-05,return,refunded,269.1
126,4320,2024-10-29,warranty,repaired,215.0
127,4362,2024-11-19,warranty,replaced,150.0
128,4387,2024-11-19,warranty,repaired,129.0
129,4411,2024-11-16,return,refunded,349.0
130,4416,2024-10-29,warranty,replaced,150.0
131,4532,2024-11-06,warranty,repaired,142.0
132,4546,2024-11-02,warranty,repaired,129.0
133,4563,2024-11-08,warranty,repaired,129.0
134,4577,2024-11-08,return,refunded,329.0
135,4606,2024-11-25,warranty,replaced,215.0
136,4611,2024-11-23,warranty,repaired,150.0
137,4621,2024-11-01,return,refunded,299.0
138,4737,2024-11-12,return,refunded,299.0
139,4879,2024-12-12,warranty,repaired,215.0
140,4921,2024-11-30,return,refunded,349.0
141,4942,2024-12-04,warranty,replaced,150.0
142,4956,2024-12-15,warranty,replaced,129.0
143,4958,2024-12-06,return,refunded,349.0
144,5111,2024-12-08,return,refunded,329.0
145,5127,2024-12-05,warranty,repaired,150.0
146,5133,2024-11-28,return,refunded,349.0
147,5155,2024-12-22,warranty,repaired,150.0
148,5172,2024-12-21,warranty,replaced,150.0
149,5191,2024-11-27,warranty,repaired,150.0
150,5281,2024-12-13,warranty,repaired,150.0
151,5326,2024-12-06,warranty,repaired,129.0
152,5335,2024-12-11,warranty,repaired,150.0
153,5445,2024-12-20,warranty,repaired,129.0
154,5478,2024-12-05,warranty,repaired,142.0
155,5482,2024-12-02,warranty,replaced,150.0
156,5484,2024-12-25,return,refunded,349.0
157,5506,2024-12-24,return,refunded,329.0
158,5535,2024-11-30,return,refunded,349.0
159,5568,2024-12-16,warranty,repaired,150.0
160,5571,2024-12-03,warranty,replaced,150.0
161,5607,2024-12-18,return,refunded,269.1
162,5665,2025-01-03,warranty,replaced,129.0
163,5704,2025-01-03,warranty,replaced,150.0
164,5731,2025-01-03,warranty,replaced,215.0
165,5742,2024-12-26,return,refunded,299.0
166,5769,2025-01-04,warranty,replaced,142.0
167,5789,2025-01-03,warranty,repaired,150.0
168,5792,2024-12-22,warranty,replaced,129.0
169,5975,2025-01-05,warranty,replaced,129.0
170,5976,2024-12-26,warranty,replaced,129.0
171,5987,2024-12-18,warranty,repaired,215.0
172,6002,2024-12-14,warranty,repaired,150.0
173,6015,2024-12-18,warranty,repaired,129.0
174,6058,2024-12-21,warranty,repaired,150.0
