event_id,customer_id,event_date,event_type,plan_price,mrr_delta
1,1,2024-12-22,signup,5.99,5.99
2,1,2025-03-22,cancel,5.99,-5.99
3,2,2025-02-17,signup,5.99,5.99
4,6,2025-04-15,signup,5.99,5.99
5,6,2025-08-13,cancel,5.99,-5.99
6,7,2025-09-12,signup,5.99,5.99
7,7,2025-11-11,cancel,5.99,-5.99
8,8,2025-04-29,signup,5.99,5.99
9,8,2025-12-25,cancel,5.99,-5.99
10,10,2025-05-03,signup,5.99,5.99
11,11,2025-02-03,signup,5.99,5.99
12,11,2025-08-02,cancel,5.99,-5.99
13,14,2024-07-19,signup,5.99,5.99
14,16,2025-10-30,signup,5.99,5.99
15,20,2025-06-30,signup,5.99,5.99
16,22,2024-09-05,signup,5.99,5.99
17,24,2025-03-20,signup,5.99,5.99
18,26,2024-03-01,signup,5.99,5.99
19,26,2024-03-31,cancel,5.99,-5.99
20,30,2024-07-31,signup,5.99,5.99
21,31,2025-03-04,signup,5.99,5.99
22,31,2025-04-03,cancel,5.99,-5.99
23,33,2025-06-03,signup,5.99,5.99
24,33,2025-07-03,cancel,5.99,-5.99
25,34,2025-06-03,signup,5.99,5.99
26,35,2024-04-19,signup,5.99,5.99
27,38,2024-07-02,signup,5.99,5.99
28,39,2024-10-01,signup,5.99,5.99
29,40,2024-08-03,signup,5.99,5.99
30,42,2025-05-11,signup,5.99,5.99
31,43,2024-07-05,signup,5.99,5.99
32,44,2024-09-30,signup,5.99,5.99
33,44,2024-11-29,cancel,5.99,-5.99
34,46,2025-02-11,signup,5.99,5.99
35,46,2025-03-13,cancel,5.99,-5.99
36,47,2024-09-13,signup,5.99,5.99
37,47,2025-01-11,cancel,5.99,-5.99
38,48,2024-06-20,signup,5.99,5.99
39,49,2024-07-19,signup,5.99,5.99
40,49,2024-11-16,cancel,5.99,-5.99
41,50,2024-11-17,signup,5.99,5.99
42,52,2024-10-22,signup,5.99,5.99
43,53,2024-09-09,signup,5.99,5.99
44,54,2024-09-29,signup,5.99,5.99
45,54,2025-01-27,cancel,5.99,-5.99
46,55,2024-11-21,signup,5.99,5.99
47,56,2025-09-27,signup,5.99,5.99
48,57,2024-04-14,signup,5.99,5.99
49,58,2024-05-29,signup,5.99,5.99
50,58,2024-08-27,cancel,5.99,-5.99
51,59,2024-12-11,signup,5.99,5.99
52,60,2025-06-24,signup,5.99,5.99
53,61,2024-09-23,signup,5.99,5.99
54,61,2025-10-18,cancel,5.99,-5.99
55,63,2025-01-19,signup,5.99,5.99
56,63,2025-04-19,cancel,5.99,-5.99
57,64,2024-04-12,signup,5.99,5.99
58,65,2024-04-29,signup,5.99,5.99
59,66,2025-06-08,signup,5.99,5.99
60,67,2025-04-28,signup,5.99,5.99
61,67,2025-10-25,cancel,5.99,-5.99
62,69,2025-01-10,signup,5.99,5.99
63,69,2025-02-09,cancel,5.99,-5.99
64,70,2024-05-08,signup,5.99,5.99
65,70,2024-07-07,cancel,5.99,-5.99
66,73,2024-09-16,signup,5.99,5.99
67,74,2025-01-04,signup,5.99,5.99
68,75,2024-09-18,signup,5.99,5.99
69,77,2024-06-06,signup,5.99,5.99
70,78,2025-03-28,signup,5.99,5.99
71,78,2025-04-27,cancel,5.99,-5.99
72,79,2024-07-19,signup,5.99,5.99
73,80,2024-09-10,signup,5.99,5.99
74,81,2025-05-15,signup,5.99,5.99
75,81,2025-08-13,cancel,5.99,-5.99
76,83,2025-04-01,signup,5.99,5.99
77,84,2025-04-01,signup,5.99,5.99
78,84,2025-06-30,cancel,5.99,-5.99
79,85,2024-07-09,signup,5.99,5.99
80,85,2024-09-07,cancel,5.99,-5.99
81,86,2025-03-31,signup,5.99,5.99
82,87,2024-08-18,signup,5.99,5.99
83,88,2024-12-28,signup,5.99,5.99
84,88,2025-12-23,cancel,5.99,-5.99
85,89,2025-07-29,signup,5.99,5.99
86,91,2025-02-10,signup,5.99,5.99
87,92,2024-09-11,signup,5.99,5.99
88,95,2025-01-12,signup,5.99,5.99
89,95,2025-03-13,cancel,5.99,-5.99
90,96,2025-02-15,signup,5.99,5.99
91,96,2025-04-16,cancel,5.99,-5.99
92,98,2025-08-14,signup,5.99,5.99
93,98,2025-10-13,cancel,5.99,-5.99
94,99,2024-08-09,signup,5.99,5.99
95,99,2024-09-08,cancel,5.99,-5.99
96,101,2024-10-05,signup,5.99,5.99
97,102,2025-03-31,signup,5.99,5.99
98,102,2025-05-30,cancel,5.99,-5.99
99,103,2024-12-28,signup,5.99,5.99
100,106,2024-09-11,signup,5.99,5.99
101,107,2024-10-28,signup,5.99,5.99
102,107,2025-12-22,cancel,5.99,-5.99
103,109,2024-06-18,signup,5.99,5.99
104,111,2025-01-21,signup,5.99,5.99
105,113,2025-04-19,signup,5.99,5.99
106,115,2025-03-15,signup,5.99,5.99
107,117,2024-10-31,signup,5.99,5.99
108,117,2024-12-30,cancel,5.99,-5.99
109,119,2024-09-11,signup,5.99,5.99
110,119,2024-11-10,cancel,5.99,-5.99
111,120,2024-11-24,signup,5.99,5.99
112,120,2025-01-23,cancel,5.99,-5.99
113,121,2024-08-30,signup,5.99,5.99
114,122,2025-05-05,signup,5.99,5.99
115,122,2025-06-04,cancel,5.99,-5.99
116,123,2024-11-05,signup,5.99,5.99
117,123,2025-04-04,cancel,5.99,-5.99
118,124,2024-09-19,signup,5.99,5.99
119,125,2024-09-11,signup,5.99,5.99
120,126,2024-12-17,signup,5.99,5.99
121,128,2024-03-31,signup,5.99,5.99
122,128,2025-08-23,cancel,5.99,-5.99
123,129,2025-03-12,signup,5.99,5.99
124,130,2024-07-13,signup,5.99,5.99
125,131,2025-12-26,signup,5.99,5.99
126,132,2024-12-25,signup,5.99,5.99
127,133,2024-03-02,signup,5.99,5.99
128,134,2024-11-09,signup,5.99,5.99
129,134,2025-02-07,cancel,5.99,-5.99
130,136,2025-04-14,signup,5.99,5.99
131,137,2024-08-01,signup,5.99,5.99
132,137,2024-08-31,cancel,5.99,-5.99
133,138,2025-02-15,signup,5.99,5.99
134,138,2025-05-16,cancel,5.99,-5.99
135,140,2024-05-24,signup,5.99,5.99
136,143,2024-12-27,signup,5.99,5.99
137,143,2025-01-26,cancel,5.99,-5.99
138,144,2025-02-24,signup,5.99,5.99
139,144,2025-06-24,cancel,5.99,-5.99
140,146,2024-07-26,signup,5.99,5.99
141,147,2025-06-02,signup,5.99,5.99
142,150,2025-01-19,signup,5.99,5.99
143,150,2025-02-18,cancel,5.99,-5.99
144,151,2024-04-24,signup,5.99,5.99
145,151,2024-05-24,cancel,5.99,-5.99
146,153,2024-05-12,signup,5.99,5.99
147,156,2024-07-22,signup,5.99,5.99
148,157,2024-10-27,signup,5.99,5.99
149,157,2025-03-26,cancel,5.99,-5.99
150,159,2024-08-01,signup,5.99,5.99
151,159,2025-02-27,cancel,5.99,-5.99
152,161,2025-10-04,signup,5.99,5.99
153,165,2024-04-25,signup,5.99,5.99
154,166,2024-11-19,signup,5.99,5.99
155,166,2024-12-19,cancel,5.99,-5.99
156,167,2025-03-09,signup,5.99,5.99
157,168,2024-10-27,signup,5.99,5.99
158,168,2024-11-26,cancel,5.99,-5.99
159,169,2025-11-17,signup,5.99,5.99
160,169,2025-12-17,cancel,5.99,-5.99
161,170,2025-02-24,signup,5.99,5.99
162,171,2025-01-07,signup,5.99,5.99
163,171,2025-02-06,cancel,5.99,-5.99
164,173,2024-07-13,signup,5.99,5.99
165,175,2025-01-08,signup,5.99,5.99
166,176,2025-01-07,signup,5.99,5.99
167,177,2024-06-02,signup,5.99,5.99
168,177,2025-03-29,cancel,5.99,-5.99
169,178,2024-07-25,signup,5.99,5.99
170,178,2024-09-23,cancel,5.99,-5.99
171,182,2025-08-26,signup,5.99,5.99
172,183,2024-03-15,signup,5.99,5.99
173,183,2024-06-13,cancel,5.99,-5.99
174,184,2025-07-12,signup,5.99,5.99
175,184,2025-08-11,cancel,5.99,-5.99
176,185,2024-10-24,signup,5.99,5.99
177,187,2024-07-30,signup,5.99,5.99
178,188,2024-09-20,signup,5.99,5.99
179,188,2025-02-17,cancel,5.99,-5.99
180,189,2024-08-30,signup,5.99,5.99
181,189,2025-01-27,cancel,5.99,-5.99
182,190,2024-11-02,signup,5.99,5.99
183,191,2025-03-07,signup,5.99,5.99
184,193,2024-05-11,signup,5.99,5.99
185,193,2024-06-10,cancel,5.99,-5.99
186,194,2024-06-02,signup,5.99,5.99
187,195,2025-11-19,signup,5.99,5.99
188,198,2024-11-18,signup,5.99,5.99
189,199,2025-06-11,signup,5.99,5.99
190,200,2024-09-04,signup,5.99,5.99
191,201,2024-08-02,signup,5.99,5.99
192,202,2024-10-10,signup,5.99,5.99
193,202,2024-11-09,cancel,5.99,-5.99
194,203,2024-11-17,signup,5.99,5.99
195,203,2025-04-16,cancel,5.99,-5.99
196,207,2025-10-25,signup,5.99,5.99
197,208,2024-11-24,signup,5.99,5.99
198,209,2024-10-25,signup,5.99,5.99
199,209,2024-11-24,cancel,5.99,-5.99
200,211,2024-08-20,signup,5.99,5.99
201,211,2025-03-18,cancel,5.99,-5.99
202,212,2025-05-10,signup,5.99,5.99
203,212,2025-06-09,cancel,5.99,-5.99
204,214,2024-04-24,signup,5.99,5.99
205,214,2024-05-24,cancel,5.99,-5.99
206,216,2025-05-19,signup,5.99,5.99
207,217,2024-03-28,signup,5.99,5.99
208,219,2024-06-02,signup,5.99,5.99
