igdb_id,steam_appid,fetched_at_utc
115,,2026-08-28T05:10:39+00:00
123,,2026-08-28T05:10:39+00:00
380,,2026-08-28T05:10:39+00:00
386,262341,2026-08-28T05:10:39+00:00
386,39210,2026-08-28T05:10:39+00:00
621,2620,2026-08-28T05:10:39+00:00
732,12120,2026-08-28T05:10:39+00:00
732,12250,2026-08-28T05:10:39+00:00
1020,271590,2026-08-28T05:10:39+00:00
1184,1407200,2026-08-28T05:10:39+00:00
1279,,2026-08-28T05:10:39+00:00
1905,,2026-08-28T05:10:39+00:00
2117,221100,2026-08-28T05:10:39+00:00
2256,,2026-08-28T05:10:39+00:00
2903,230410,2026-08-28T05:10:39+00:00
3189,108600,2026-08-28T05:10:39+00:00
3277,252490,2026-08-28T05:10:39+00:00
4006,,2026-08-28T05:10:39+00:00
6292,582660,2026-08-28T05:10:39+00:00
6292,706220,2026-08-28T05:10:39+00:00
7291,594650,2026-08-28T05:10:39+00:00
7360,359550,2026-08-28T05:10:39+00:00
7504,242760,2026-08-28T05:10:39+00:00
8965,262060,2026-08-28T05:10:39+00:00
9596,,2026-08-28T05:10:39+00:00
11198,252950,2026-08-28T05:10:39+00:00
11642,322170,2026-08-28T05:10:39+00:00
12515,,2026-08-28T05:10:39+00:00
15536,3932890,2026-08-28T05:10:39+00:00
17269,,2026-08-28T05:10:39+00:00
18866,381210,2026-08-28T05:10:39+00:00
19698,761890,2026-08-28T05:10:39+00:00
25076,1174180,2026-08-28T05:10:39+00:00
25657,1085660,2026-08-28T05:10:39+00:00
27789,578080,2026-08-28T05:10:39+00:00
33615,438100,2026-08-28T05:10:39+00:00
45517,,2026-08-28T05:10:39+00:00
52189,,2026-08-28T05:10:39+00:00
71001,,2026-08-28T05:10:39+00:00
76760,,2026-08-28T05:10:39+00:00
79824,1343370,2026-08-28T05:10:39+00:00
90099,2221490,2026-08-28T05:10:39+00:00
113049,688130,2026-08-28T05:10:39+00:00
114795,1172470,2026-08-28T05:10:39+00:00
115276,,2026-08-28T05:10:39+00:00
116975,1170970,2026-08-28T05:10:39+00:00
116975,2007020,2026-08-28T05:10:39+00:00
119133,1245620,2026-08-28T05:10:39+00:00
119277,,2026-08-28T05:10:39+00:00
120176,,2026-08-28T05:10:39+00:00
125174,2357570,2026-08-28T05:10:39+00:00
125642,2694490,2026-08-28T05:10:39+00:00
126459,,2026-08-28T05:10:39+00:00
131800,,2026-08-28T05:10:39+00:00
132516,739630,2026-08-28T05:10:39+00:00
