snapshot_hour_utc,game_id,name,is_game,rank,viewers_top100,channels_top100,share_top1,v_short,v_day,c_short,flags,score,components,steam_appid
2026-09-09T16,508455,Valheim,True,6,71989,100,0.1937,2.9183612743929537,,0.19845093872383823,ENTRY,6.769,channel_growth_short=+0.30;entry_day=+0.75;steam_growth=-0.11;viewer_growth_short=+5.84,892970
2026-09-09T16,27471,Minecraft,True,4,126764,100,0.4825,2.9280550463172057,0.13126652877512887,0.02020270731751947,,6.041,channel_growth_day=+0.02;channel_growth_short=+0.03;viewer_growth_day=+0.13;viewer_growth_short=+5.86,
2026-09-09T16,518203,Sports,False,29,15331,99,0.4356,0.15566292220473857,0.554784349849548,0.42073258023895277,"BREADTH IGNITION:gerardromero,controcalcio__",4.67,breadth_bonus=+0.50;channel_growth_day=-0.01;channel_growth_short=+0.63;ignition=+2.00;rank_climb=+0.68;viewer_growth_day=+0.55;viewer_growth_short=+0.31,
2026-09-09T16,13389,Age of Empires II,False,48,7710,33,0.892,,0.6091017193866125,,ENTRY IGNITION:sam1268,4.383,channel_growth_day=-0.09;entry_short=+1.50;ignition=+1.00;rank_climb=+1.36;viewer_growth_day=+0.61,
2026-09-09T16,1104776029,Wanderburg,True,28,17169,52,0.8495,1.766057321342806,-0.35053463270486496,0.4547361571149471,IGNITION:handofblood,4.313,channel_growth_day=-0.35;channel_growth_short=+0.68;ignition=+1.00;rank_climb=-0.20;viewer_growth_day=-0.35;viewer_growth_short=+3.53,3624140
2026-09-09T16,71375,Star Citizen,True,74,4877,80,0.4333,0.8298177405098155,0.5780332769676115,0.41173472112175985,,3.877,channel_growth_day=-0.02;channel_growth_short=+0.62;rank_climb=+1.04;viewer_growth_day=+0.58;viewer_growth_short=+1.66,
2026-09-09T16,1264310518,Marvel Rivals,True,24,16819,100,0.2025,1.03058307773792,-0.23690185047187787,0.0,"IGNITION:timthetatman,symfuhny",3.749,channel_growth_day=+0.02;channel_growth_short=+0.00;ignition=+2.00;rank_climb=-0.08;steam_growth=-0.01;viewer_growth_day=-0.24;viewer_growth_short=+2.06,2767030
2026-09-09T16,509659,ASMR,False,31,14018,98,0.1816,0.7643947984250526,0.7892138170432448,-0.010152371464017962,,3.568,channel_growth_day=-0.02;channel_growth_short=-0.02;rank_climb=+1.28;viewer_growth_day=+0.79;viewer_growth_short=+1.53,
2026-09-09T16,509663,Special Events,False,27,17442,100,0.25,,0.453198039807181,,ENTRY IGNITION:xthesolutiontv,3.456,channel_growth_day=+0.02;entry_short=+1.50;ignition=+1.00;rank_climb=+0.48;viewer_growth_day=+0.45,
2026-09-09T16,500188,Hunt: Showdown 1896,True,40,8566,100,0.1725,0.825511848049201,0.2925972374085895,0.0,IGNITION:carola,3.392,channel_growth_day=+0.00;channel_growth_short=+0.00;ignition=+1.00;rank_climb=+0.28;steam_growth=+0.17;viewer_growth_day=+0.29;viewer_growth_short=+1.65,594650
2026-09-09T16,491168,Clash Royale,True,57,6759,42,0.3677,,0.3470622157103923,,ENTRY IGNITION:narek_cr,3.351,channel_growth_day=-0.22;entry_short=+1.50;ignition=+1.00;rank_climb=+0.72;viewer_growth_day=+0.35,
2026-09-09T16,512710,Call of Duty: Warzone,True,21,19177,100,0.2026,1.0146822563282876,0.03805124550294619,0.0,IGNITION:camy,3.275,channel_growth_day=+0.01;channel_growth_short=+0.00;ignition=+1.00;rank_climb=+0.20;viewer_growth_day=+0.04;viewer_growth_short=+2.03,
2026-09-09T16,490382,For Honor,True,75,4829,81,0.8203,,,,ENTRY IGNITION:forhonorgame,3.25,entry_day=+0.75;entry_short=+1.50;ignition=+1.00,304390
2026-09-09T16,1477822963,Detective Sherlock: Shadow Stalker,True,90,3241,1,1.0,,,,ENTRY IGNITION:xop0,3.25,entry_day=+0.75;entry_short=+1.50;ignition=+1.00,
2026-09-09T16,22336,The Beatles: Rock Band,True,83,4216,1,1.0,,,,ENTRY IGNITION:vinesauce,3.25,entry_day=+0.75;entry_short=+1.50;ignition=+1.00,
2026-09-09T16,1826300051,Mario Kart World,True,37,10529,99,0.6804,,,,ENTRY IGNITION:knekro,3.25,entry_day=+0.75;entry_short=+1.50;ignition=+1.00,
2026-09-09T16,2005329090,Jinro Metropolis,True,76,4808,6,0.7716,,,,ENTRY IGNITION:xhalli4x,3.25,entry_day=+0.75;entry_short=+1.50;ignition=+1.00,
2026-09-09T16,376500771,Hades II,True,53,7248,15,0.9935,,,,ENTRY IGNITION:etoiles,3.25,entry_day=+0.75;entry_short=+1.50;ignition=+1.00,1145350
